Year,Category,Month,Index_Value,Quarter,Hierarchy_Level,Economic_Period,Is_Tet_Month,Inflation_Status,Season,Category_Group
2012,Chỉ số đô la Mỹ,1,100.05,1,Main Category,Economic Growth,True,Stable,Winter/Tet,Financial/Other
2011,Chỉ số giá tiêu dùng,1,101.74,1,Total CPI,Post-Crisis Volatility,True,High Inflation,Winter/Tet,General/Housing
2011,Hàng ăn và dịch vụ ăn uống,1,102.47,1,Main Category,Post-Crisis Volatility,True,High Inflation,Winter/Tet,Food & Beverage
2011,Lương thực,1,102.28,1,Sub-category,Post-Crisis Volatility,True,High Inflation,Winter/Tet,Food & Beverage
2011,Thực phẩm,1,102.74,1,Sub-category,Post-Crisis Volatility,True,High Inflation,Winter/Tet,Food & Beverage
2011,Đồ uống và thuốc lá,1,101.67,1,Main Category,Post-Crisis Volatility,True,High Inflation,Winter/Tet,General/Housing
2011,"May mặc, mũ nón, giày dép",1,101.81,1,Main Category,Post-Crisis Volatility,True,High Inflation,Winter/Tet,General/Housing
2011,Nhà ở và vật liệu xây dựng,1,101.33,1,Main Category,Post-Crisis Volatility,True,High Inflation,Winter/Tet,General/Housing
2011,Thiết bị và đồ dùng gia đình,1,100.77,1,Main Category,Post-Crisis Volatility,True,Stable,Winter/Tet,General/Housing
2011,Thuốc và dịch vụ y tế,1,100.36,1,Main Category,Post-Crisis Volatility,True,Stable,Winter/Tet,Healthcare
2011,Giao thông,1,100.81,1,Main Category,Post-Crisis Volatility,True,Stable,Winter/Tet,Transport
2011,Bưu chính viễn thông,1,99.94,1,Main Category,Post-Crisis Volatility,True,Deflation,Winter/Tet,General/Housing
2011,Giáo dục,1,102.89,1,Main Category,Post-Crisis Volatility,True,High Inflation,Winter/Tet,Education
2011,"Văn hóa, giải trí và du lịch",1,100.58,1,Main Category,Post-Crisis Volatility,True,Stable,Winter/Tet,General/Housing
2011,Hàng hoá và dịch vụ khác,1,101.04,1,Main Category,Post-Crisis Volatility,True,High Inflation,Winter/Tet,General/Housing
2011,Chỉ số giá vàng,1,99.95,1,Main Category,Post-Crisis Volatility,True,Deflation,Winter/Tet,Financial/Other
